airport_icao,iata,name,country,latitude,longitude
EGLL,LHR,London Heathrow Airport,GB,51.470748,-0.459909
EDDF,FRA,Frankfurt Main Airport,DE,50.026706,8.55835
LFPG,CDG,Charles de Gaulle International Airport,FR,49.00896,2.554117
EHAM,AMS,Amsterdam Airport Schiphol,NL,52.308601,4.76389
LEMD,MAD,Adolfo Suárez Madrid–Barajas Airport,ES,40.493407,-3.572249
EDDM,MUC,Munich Airport,DE,48.353802,11.7861
LIRF,FCO,Rome–Fiumicino Leonardo da Vinci International Airport,IT,41.804532,12.251998
EGKK,LGW,London Gatwick Airport,GB,51.148744,-0.185739
LEBL,BCN,Josep Tarradellas Barcelona-El Prat Airport,ES,41.2971,2.07846
LSZH,ZRH,Zürich Airport,CH,47.458056,8.548056
LOWW,VIE,Vienna International Airport,AT,48.110298,16.5697
EKCH,CPH,Copenhagen Kastrup Airport,DK,55.617900848389,12.656000137329
ESSA,ARN,Stockholm-Arlanda Airport,SE,59.64849,17.928829
EIDW,DUB,Dublin Airport,IE,53.428713,-6.262121
EGSS,STN,London Stansted Airport,GB,51.884998,0.235
EDDL,DUS,Düsseldorf Airport,DE,51.289501,6.76678
LIMC,MXP,Milan Malpensa International Airport,IT,45.6306,8.72811
LFPO,ORY,Paris-Orly Airport,FR,48.729499,2.358963
ENGM,OSL,Oslo-Gardermoen International Airport,NO,60.193901,11.1004
LSGG,GVA,Geneva International Airport,CH,46.238098,6.10895
